This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
c1b32c6cd9e3b2a97feca9bf8335ab27d91fc7d846918455cbc3fe96e673fdec 31 31 589 49
52cd2f90af29ec5d495939660abb3951d6718f45f3ccddf892fa53f71bd86e5f 46 46 399 80
c69ecfdeff113238081c0ed26d3da06d57020ef392f9adfcf6fc300548802f14 55 38 3629 2745
ccd23edcc68a7245490d6960c3762a4ac2173c634b5124c44d8756c8c914b5a1 22 22 82165 11718
60639e3cd8b3b5a120a982b753f1249bcfdb3b766d1efd7f211d37f6b7f3dde5 23 23 8484 191
0dd5a44b5164155b7d0f0ee0b59da4b64978786f4f4c40fdbaf68f972545c778 16 16 1444 5
ff5a4fb38afad518bff76b9c23c4c960b0359e8c94540ccd415f22a58866b7e3 15 14 924 15
bfddbbc83c99217ec55a111fc8097c4942d4b6ce7c06b15592d7060d93ef8796 24 10 275 25
fead81219ee31bd8a53348e8fc992a9a09834de1d31cf52df64e44d6ef284923 7 7 2725 241
430f5c9f71de03f29eb6df8342de29d63a6d68cc317330e09763ce663be10945 8 8 789 300
f36313ead05b00d999487dbb6413eff91ec4e31931a5d32a07e2c19d3f551b27 1 1 502 0
7cbb9cd49ade2bf5de8d58fe94fcd9e0d05568dd044ca03a44fb428cad92f571 8 8 28573 0
795b29674108dd447e1ef61961d3563c4e73cd99abf490ebbc586b95af0abcf7 2 2 1554 121
d6717f83fb1ce062c545db4f6c9f875a6355cdb7cfa805b3b489a760f95dc1fa 15 13 10610 4901
3c33469f3e72bb59ff3f142f3cc3a1f36d9c5d16314d3ce88bb3676e4bd53ada 69 69 6624 1363
53d410ed83636aa77e87c08562903fde81b3df73ece7d592971d0e70e8c3f71c 139 114 6172 1157
ef8a1174812d4968f88fc85cd32b7c563878a4b34735a8fd4a7cea800116825f 7 7 377 0
801b50e838fe1aecd905eab11a0e06033d79b87ac7c8ed7045ca4cb529905f77 100 89 4411 551
d40919cdb2b68ead2b0c7610b9e8cdaf3f9766a1c114d287c2ec4475753a3353 40 4 258 364
8f1c09b5df3bcf3ea32d469e81182ed07dedf069f65843258aeaa96d3e2886dd 7 0 0 0
f26620b1ab2a2c8c99e01ac32c90043ffd99835677488035ee8ab1b2ee2bf496 160 83 6460 3632
337a98bbc019df239796d720c078677d975a2e6993209247cfef00baa8e3c829 30 1 5031 0
3c18744484ef34596ab790c2e275da835ba0756dab2fc7432818527aad22df04 1 1 5998 0
8dd61b28b948006d47c218d40c896aba22b2400d25a591a907257ff7fc8396ef 4 1 1502 0
c4b76f6f9f73eaf34aa207cda9b5567007ef8f150f34c802d139a6e2a317ef1a 299 2 4 0
5c034e103dfb27ec25d352af5cdb6bcca7de92336a37e2df626b9128cce78ba5 4 0 0 0
ddbd2340f1083863c491bdccb4ad9ad1810098d3cb54581b359c6bbe55b09979 4 0 0 0
a327bb4cc2718a266724ae8e5710603148ce1f29def3874a92d7b399ff5a03f3 4 2 62 52
